INSTITUTION,,,
Term,Class,Example,Remarks
PID,CollectionDescription,SuperStableInsititutionID123,assigned by e.g. GBIF registry
recordCreator,CollectionDescription,Department of Biodiversity Informatics,
recordEditor,CollectionDescription,Department of Biodiversity Informatics,
language,CollectionDescription,English,
recordCreatedDate,CollectionDescription,2021-03-25,
recordEditedDate,CollectionDescription,2021-03-25,
rightsHolder,Record-level,Botanic Garden and Botanical Museum Berlin,
organisationUnitIdentifierSource,OrganisationalUnitIdentifier,CITES,
organisationUnitIdentifier,OrganisationalUnitIdentifier,DE 203-03,
organisationalUnitName,OrganisationalUnit,Botanic Garden and Botanical Museum Berlin,
organisationalUnitAlternativeName,OrganisationalUnit,BGBM,
organisationalUnitType,OrganisationalUnit,Central Unit of Freie Universität Berlin,
organisationalUnitParentInstitutionID,OrganisationalUnit,IDOfFreieUniversitätBerlin,
organisationalUnitWebsiteURL,OrganisationalUnit,https://www.bgbm.org,
organisationalUnitDescription,OrganisationalUnit,The Botanic Garden and Botanical Museum Berlin is a central unit of the Freie Universität Berlin(link is external). With our research and development projects we contribute to national and international programmes on biodiversity and - at the same time - to academic research and teaching. The Botanic Garden Berlin is fantastic place where citizens and visitors from all over the world can recreate and experience plant life. We present the Earth’s plant diversity in a gorgeous and artfully designed landscape. Together with other institutes of the Freie Universität Berlin we form the Dahlem Centre of Plant Sciences(link is external) (DCPS).,
organisationUnitAddressCity,OrganisationalUnitAddress,Berlin,
organisationUnitAddressCountry,OrganisationalUnitAddress,Germany,
organisationUnitAddressStateOrCounty,OrganisationalUnitAddress,Berlin,
organisationUnitAddressStreet,OrganisationalUnitAddress,Koenigin-Luise-Str. 6-8,
organisationUnitAddressZipcodeOrPostcode,OrganisationalUnitAddress,14195,
,,,
EXAMPLE COLLECTION WITHIN THIS INSTITUTION REFERRING TO ITS PARENT,,,Remarks
PID,CollectionDescription,SuperStableCollectionID123,
recordCreator,CollectionDescription,Department of Biodiversity Informatics,
recordEditor,CollectionDescription,Department of Biodiversity Informatics,
language,CollectionDescription,English,
recordCreatedDate,CollectionDescription,2021-03-25,
recordEditedDate,CollectionDescription,2021-03-25,
rightsHolder,Record-level,Botanic Garden and Botanical Museum Berlin,
organisationalUnitName,OrganisationalUnit,Herbarium Berolinense,
organisationalUnitType,OrganisationalUnit,Herbarium,
organisationalUnitParentInstitutionID,OrganisationalUnit,SuperStableInsititutionID123,
organisationalUnitWebsiteURL,OrganisationalUnit,https://www.bgbm.org/en/herbarium,
organisationalUnitDescription,OrganisationalUnit,"The herbarium of the Botanic Garden and Botanical Museum Berlin-Dahlem (herbarium acronym: B) was founded in 1819 and is the largest in Germany. It holds a collection of more than 3.8 million preserved specimens. All plant groups – flowering plants, ferns, mosses, liverworts, and algae, as well as fungi and lichens – are represented in the collections which are worldwide in scope. Associated with the general herbarium are special collections of dried fruits and seeds, wood samples, and specimens preserved in alcohol.",
organisationalUnitAlternativeName,OrganisationalUnit,B,
collectionIdentifier,CollectionIdentifier,B,
collectionIdentifierSource,CollectionIdentifier,Index Herbariorum,
datasetIdentifier,RelatedDatasetIdentifier,https://www.gbif.org/dataset/85739778-f762-11e1-a439-00145eb45e9a,
datasetIdentifier,RelatedDatasetIdentifier,https://www.gbif.org/dataset/85727f1e-f762-11e1-a439-00145eb45e9a,
datasetIdentifier,RelatedDatasetIdentifier,https://www.gbif.org/dataset/ee9c2798-1637-11e3-b987-00145eb45e9a,
datasetIdentifier,RelatedDatasetIdentifier,https://www.gbif.org/dataset/85685a84-f762-11e1-a439-00145eb45e9a,
datasetIdentifier,RelatedDatasetIdentifier,https://www.gbif.org/dataset/7a22e1e4-f762-11e1-a439-00145eb45e9a,
datasetIdentifier,RelatedDatasetIdentifier,https://www.gbif.org/dataset/856aa56e-f762-11e1-a439-00145eb45e9a,
datasetIdentifier,RelatedDatasetIdentifier,https://www.gbif.org/dataset/82c788c2-f762-11e1-a439-00145eb45e9a,
datasetIdentifier,RelatedDatasetIdentifier,https://www.gbif.org/dataset/856734ce-f762-11e1-a439-00145eb45e9a,